component,path,lines,exported,violations,compliant
"GlassErrorBoundary","components/GlassErrorBoundary.tsx",130,true,1,false
"AccessibilityProvider","components/accessibility/AccessibilityProvider.tsx",184,false,1,true
"GlassA11y","components/accessibility/GlassA11y.tsx",714,false,1,true
"GlassFocusIndicators","components/accessibility/GlassFocusIndicators.tsx",442,false,6,false
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx",392,false,15,false
"GlassAchievementSystem","components/advanced/GlassAchievementSystem.tsx",1124,false,2,false
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx",932,false,10,false
"GlassBiometricAdaptation","components/advanced/GlassBiometricAdaptation.tsx",936,false,3,false
"GlassContextAware","components/advanced/GlassContextAware.tsx",441,false,1,true
"GlassContextualEngine","components/advanced/GlassContextualEngine.tsx",1286,false,2,false
"GlassEngine","components/advanced/GlassEngine.tsx",606,false,5,false
"GlassEyeTracking","components/advanced/GlassEyeTracking.tsx",770,false,2,false
"GlassFoldableSupport","components/advanced/GlassFoldableSupport.tsx",446,false,2,false
"GlassLiquidTransition","components/advanced/GlassLiquidTransition.tsx",505,false,4,false
"GlassLiveCursorPresence","components/advanced/GlassLiveCursorPresence.tsx",553,false,2,false
"GlassMagneticCursor","components/advanced/GlassMagneticCursor.tsx",443,false,3,false
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx",313,false,7,true
"GlassMetaEngine","components/advanced/GlassMetaEngine.tsx",1082,false,3,false
"GlassNeuroSync","components/advanced/GlassNeuroSync.tsx",1123,false,2,false
"GlassOrientationEffects","components/advanced/GlassOrientationEffects.tsx",430,false,2,false
"GlassParallaxLayers","components/advanced/GlassParallaxLayers.tsx",290,false,2,false
"GlassParticles","components/advanced/GlassParticles.tsx",554,false,5,false
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx",520,false,6,false
"GlassPredictiveEngine","components/advanced/GlassPredictiveEngine.tsx",981,false,3,false
"GlassProgressiveEnhancement","components/advanced/GlassProgressiveEnhancement.tsx",640,false,1,true
"GlassQuantumStates","components/advanced/GlassQuantumStates.tsx",958,false,4,false
"GlassReactions","components/advanced/GlassReactions.tsx",556,false,11,false
"GlassSelfHealingSystem","components/advanced/GlassSelfHealingSystem.tsx",1172,false,1,true
"GlassSpatialAudio","components/advanced/GlassSpatialAudio.tsx",869,false,2,false
"GlassTrophyCase","components/advanced/GlassTrophyCase.tsx",845,false,4,false
"GlassWebGLShader","components/advanced/GlassWebGLShader.tsx",471,false,2,false
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx",775,false,21,true
"LiquidGlassGPU","components/advanced/LiquidGlassGPU.tsx",696,false,2,false
"AIGlassThemeProvider","components/ai/AIGlassThemeProvider.tsx",517,false,1,true
"GlassDeepDreamGlass","components/ai/GlassDeepDreamGlass.tsx",810,false,3,false
"GlassGANGenerator","components/ai/GlassGANGenerator.tsx",843,false,3,false
"GlassGenerativeArt","components/ai/GlassGenerativeArt.tsx",672,false,3,false
"GlassIntelligentFormBuilder","components/ai/GlassIntelligentFormBuilder.tsx",798,false,2,false
"GlassLiveFilter","components/ai/GlassLiveFilter.tsx",977,false,3,false
"GlassMusicVisualizer","components/ai/GlassMusicVisualizer.tsx",801,false,5,false
"GlassStyleTransfer","components/ai/GlassStyleTransfer.tsx",578,false,2,false
"ProductionAIIntegration","components/ai/ProductionAIIntegration.tsx",386,false,1,false
"AIDemo","components/ai/examples/AIDemo.tsx",466,false,2,false
"AdvancedAnimations","components/animations/AdvancedAnimations.tsx",153,false,1,true
"GlassMotionController","components/animations/GlassMotionController.tsx",698,true,2,false
"GlassTransitions","components/animations/GlassTransitions.tsx",619,false,16,false
"OrganicAnimationEngine","components/animations/OrganicAnimationEngine.tsx",628,false,13,false
"ARGlassEffects","components/ar/ARGlassEffects.tsx",980,false,2,false
"GlassAuroraDisplay","components/atmospheric/GlassAuroraDisplay.tsx",690,false,6,false
"GlassBiomeSimulator","components/atmospheric/GlassBiomeSimulator.tsx",1013,false,8,false
"GlassNebulaClouds","components/atmospheric/GlassNebulaClouds.tsx",783,false,6,false
"GlassWeatherGlass","components/atmospheric/GlassWeatherGlass.tsx",746,false,7,false
"AtmosphericBackground","components/backgrounds/AtmosphericBackground.tsx",283,false,6,true
"GlassDynamicAtmosphere","components/backgrounds/GlassDynamicAtmosphere.tsx",581,false,3,false
"ParticleBackground","components/backgrounds/ParticleBackground.tsx",362,false,4,true
"EnhancedGlassButton","components/button/EnhancedGlassButton.tsx",537,false,2,false
"GlassButton","components/button/GlassButton.tsx",1181,true,2,false
"GlassFab","components/button/GlassFab.tsx",649,true,2,false
"GlassMagneticButton","components/button/GlassMagneticButton.tsx",258,false,2,false
"GlassCalendar","components/calendar/GlassCalendar.tsx",581,true,3,false
"GlassCard","components/card/GlassCard.tsx",518,true,2,false
"div","components/card/div.tsx",78,false,1,false
"glass-card-link","components/card/glass-card-link.tsx",38,false,2,false
"index","components/card/index.ts",32,false,0,true
"patterns","components/card/patterns.tsx",449,false,2,false
"GlassAreaChart","components/charts/GlassAreaChart.tsx",596,true,3,false
"GlassBarChart","components/charts/GlassBarChart.tsx",615,true,2,false
"GlassChart","components/charts/GlassChart.tsx",1440,true,8,false
"GlassDataChart","components/charts/GlassDataChart.tsx",1515,true,18,false
"GlassLineChart","components/charts/GlassLineChart.tsx",535,true,3,false
"GlassPieChart","components/charts/GlassPieChart.tsx",412,true,5,false
"ModularGlassDataChart","components/charts/ModularGlassDataChart.tsx",1199,false,7,false
"AtmosphericEffects","components/charts/components/AtmosphericEffects.tsx",162,false,4,false
"ChartAxis","components/charts/components/ChartAxis.tsx",141,false,6,false
"ChartContainer","components/charts/components/ChartContainer.tsx",59,false,4,false
"ChartFilters","components/charts/components/ChartFilters.tsx",112,false,0,true
"ChartGrid","components/charts/components/ChartGrid.tsx",140,false,1,true
"ChartLegend","components/charts/components/ChartLegend.tsx",86,false,5,false
"ChartRenderer","components/charts/components/ChartRenderer.tsx",224,false,7,false
"ChartTooltip","components/charts/components/ChartTooltip.tsx",79,false,8,false
"KpiChart","components/charts/components/KpiChart.tsx",74,false,4,false
