variable,files,unique_values,suspected_conflict
"--brand-glass-primary",1,1,false
"--brand-glass-secondary",1,1,false
"--brand-border-primary",1,1,false
"--brand-border-secondary",1,1,false
"--brand-shadow-primary",1,1,false
"--brand-shadow-secondary",1,1,false
"--gm-opacity",1,1,false
"--gm-blur",1,1,false
"--gm-refraction",1,1,false
"--gm-reflection",1,1,false
"--gm-chromatic",1,1,false
"--gm-caustic",1,1,false
"--gm-temperature",1,1,false
"--gm-viscosity",1,1,false
"--gm-crystalline",1,1,false
"--gm-iridescence",1,1,false
"--gm-hue",1,1,false
"--glass-surface",2,2,true
"--glass-border",2,2,true
"--glass-text",2,2,true
"--glass-shadow",2,2,true
"--radius-xs",1,1,false
"--radius-sm",1,1,false
"--radius-md",1,1,false
"--radius-lg",1,1,false
"--radius-xl",1,1,false
"--shadow-soft",1,1,false
"--shadow-medium",1,1,false
"--shadow-strong",1,1,false
"--shadow-glow",1,1,false
"--design-blur-xs",1,1,false
"--design-blur-sm",1,1,false
"--design-blur-md",1,1,false
"--design-blur-lg",1,1,false
"--design-blur-xl",1,1,false
"--grad-primary-from",1,1,false
"--grad-primary-to",1,1,false
"--grad-aurora-from",1,1,false
"--grad-aurora-via",1,1,false
"--grad-aurora-to",1,1,false
"--grad-hero-from",1,1,false
"--grad-hero-to",1,1,false
"--grad-accent-from",1,1,false
"--grad-accent-to",1,1,false
"--section-xs-y",1,1,false
"--section-sm-y",1,1,false
"--section-md-y",1,1,false
"--section-lg-y",1,1,false
"--container-gutter",1,1,false
"--prose-max",1,1,false
"--glass-backdrop-blur",6,5,true
"--glass-text-primary",9,3,true
"--glass-text-secondary",9,3,true
"--glass-text-tertiary",8,2,true
"--glass-text-disabled",8,2,true
"--glass-bg-default",4,4,true
"--glass-bg-strong",3,2,true
"--glass-border-default",4,4,true
"--glass-motion-default",1,1,false
"--glass-motion-enter",1,1,false
"--glass-motion-exit",1,1,false
"--glass-radius-sm",2,1,false
"--glass-radius-md",2,1,false
"--glass-radius-lg",2,1,false
"--glass-radius-xl",2,1,false
"--glass-radius-pill",1,1,false
"--glass-neutral-level1-surface",1,1,false
"--glass-neutral-level1-border-color",1,1,false
"--glass-neutral-level1-border-width",1,1,false
"--glass-neutral-level1-border-style",1,1,false
"--glass-neutral-level1-blur",1,1,false
"--glass-neutral-level1-shadow",1,1,false
"--glass-neutral-level1-text-primary",1,1,false
"--glass-neutral-level1-text-secondary",1,1,false
"--glass-neutral-level2-surface",1,1,false
"--glass-neutral-level2-border-color",1,1,false
"--glass-neutral-level2-border-width",1,1,false
"--glass-neutral-level2-border-style",1,1,false
"--glass-neutral-level2-blur",1,1,false
"--glass-neutral-level2-shadow",1,1,false
"--glass-neutral-level2-text-primary",1,1,false
"--glass-neutral-level2-text-secondary",1,1,false
"--glass-neutral-level3-surface",1,1,false
"--glass-neutral-level3-border-color",1,1,false
"--glass-neutral-level3-border-width",1,1,false
"--glass-neutral-level3-border-style",1,1,false
"--glass-neutral-level3-blur",1,1,false
"--glass-neutral-level3-shadow",1,1,false
"--glass-neutral-level3-text-primary",1,1,false
"--glass-neutral-level3-text-secondary",1,1,false
"--glass-neutral-level4-surface",1,1,false
"--glass-neutral-level4-border-color",1,1,false
"--glass-neutral-level4-border-width",1,1,false
"--glass-neutral-level4-border-style",1,1,false
"--glass-neutral-level4-blur",1,1,false
"--glass-neutral-level4-shadow",1,1,false
"--glass-neutral-level4-text-primary",1,1,false
"--glass-neutral-level4-text-secondary",1,1,false
"--glass-primary-level1-surface",1,1,false
"--glass-primary-level1-border-color",1,1,false
"--glass-primary-level1-border-width",1,1,false
"--glass-primary-level1-border-style",1,1,false
"--glass-primary-level1-blur",1,1,false
"--glass-primary-level1-shadow",1,1,false
"--glass-primary-level1-text-primary",1,1,false
"--glass-primary-level1-text-secondary",1,1,false
"--glass-primary-level2-surface",1,1,false
"--glass-primary-level2-border-color",1,1,false
"--glass-primary-level2-border-width",1,1,false
"--glass-primary-level2-border-style",1,1,false
"--glass-primary-level2-blur",1,1,false
"--glass-primary-level2-shadow",1,1,false
"--glass-primary-level2-text-primary",1,1,false
"--glass-primary-level2-text-secondary",1,1,false
"--glass-primary-level3-surface",1,1,false
"--glass-primary-level3-border-color",1,1,false
"--glass-primary-level3-border-width",1,1,false
"--glass-primary-level3-border-style",1,1,false
"--glass-primary-level3-blur",1,1,false
"--glass-primary-level3-shadow",1,1,false
"--glass-primary-level3-text-primary",1,1,false
"--glass-primary-level3-text-secondary",1,1,false
"--glass-primary-level4-surface",1,1,false
"--glass-primary-level4-border-color",1,1,false
"--glass-primary-level4-border-width",1,1,false
"--glass-primary-level4-border-style",1,1,false
"--glass-primary-level4-blur",1,1,false
"--glass-primary-level4-shadow",1,1,false
"--glass-primary-level4-text-primary",1,1,false
"--glass-primary-level4-text-secondary",1,1,false
"--glass-success-level1-surface",1,1,false
"--glass-success-level1-border-color",1,1,false
"--glass-success-level1-border-width",1,1,false
"--glass-success-level1-border-style",1,1,false
